fen,evaluation
r1b1qk1r/pp3p2/4p2p/2nnN3/3Q4/3B2P1/PPPK1P1P/R2R4 b - - 17 29,-147
r1b1qk1r/pp3p2/4p2p/3nN3/3Q4/3n2P1/PPPK1P1P/R2R4 w - - 0 30,-147
r1b1qk1r/pp6/4p1pp/3n4/3Q4/3n2P1/PPPK1P1P/R2R4 w - - 0 31,-161
r1b1qk1r/pp3p2/4p1Np/3n4/3Q4/3n2P1/PPPK1P1P/R2R4 b - - 1 30,-147
r1b1q2r/pp3pk1/4p2p/2nnN3/6Q1/3B2P1/PPPK1P1P/R2R4 b - - 15 28,-206
r1b2r2/pp3pk1/4p2p/2nnN2Q/q7/3B2P1/PPPK1P1P/R2R4 w - - 6 24,-283
r1b1Q3/pp2k3/4p1pp/3n4/8/3n2P1/PPPK1P1P/R2R4 b - - 0 32,-161
r1b1q2Q/pp2k3/4p1pp/3n4/8/3n2P1/PPPK1P1P/R2R4 w - - 1 32,-133
r1b1qk1Q/pp6/4p1pp/3n4/8/3n2P1/PPPK1P1P/R2R4 b - - 0 31,-138
r1b1k3/pp6/4p1pp/3n4/8/3n2P1/PPPK1P1P/R2R4 w - - 0 33,-161
r1b1k3/pp6/4p1pp/3n4/8/3K2P1/PPP2P1P/R2R4 b - - 0 33,-157
r1b1k3/p7/4p1pp/1p1n4/8/3K2P1/PPP2P1P/R2R4 w - - 0 34,-147
r1b1k3/p7/4p1pp/1p1n4/8/3K2P1/PPP2P1P/R3R3 b - - 1 34,-146
r1b5/p3k3/4p1pp/1p1n4/8/3K2P1/PPP2P1P/R3R3 w - - 2 35,-137
r1b5/p3k3/4p1pp/1p1nR3/8/3K2P1/PPP2P1P/R7 b - - 3 35,-145
r1b5/p7/4pk1p/1p1nR1p1/8/3K2P1/PPP2P1P/4R3 w - - 2 37,-133
r7/p2b4/4pk1p/1p1n2p1/4R3/3K2P1/PPP2P1P/4R3 w - - 4 38,-128
r1b5/p3k3/4p2p/1p1nR1p1/8/3K2P1/PPP2P1P/R7 w - - 0 36,-131
r1b5/p3k3/4p2p/1p1nR1p1/8/3K2P1/PPP2P1P/4R3 b - - 1 36,-142
r1b5/p7/4pk1p/1p1n2p1/4R3/3K2P1/PPP2P1P/4R3 b - - 3 37,-140
r7/p2b4/4pk1p/1p1n2p1/4R2P/3K2P1/PPP2P2/4R3 b - - 0 38,-137
5r2/p2b4/4pk1p/1p1n2p1/4R2P/3K2P1/PPP2P2/4R3 w - - 1 39,-133
5r2/3b4/4pk1p/pp1n2p1/3KR2P/2P3P1/PP3P2/4R3 b - - 1 40,-239
5r2/p2b4/4pk1p/1p1n2p1/4R2P/2PK2P1/PP3P2/4R3 b - - 0 39,-153
5r2/3b4/4pk1p/pp1n2p1/4R2P/2PK2P1/PP3P2/4R3 w - - 0 40,-151
2r5/3b4/4pk1p/pp1n2p1/3KR2P/2P3P1/PP3P2/4R3 w - - 2 41,-231
2r5/3b4/4pk1p/pp1n2p1/3KR2P/2P2PP1/PP6/4R3 b - - 0 41,-267
2r5/3b4/4pk1p/1p1n2p1/p2KR2P/2P2PP1/PP6/4R3 w - - 0 42,-268
2r5/3b4/4pk1p/1p1n2p1/p2KR2P/2P2PP1/PP6/2R5 b - - 1 42,-342
2r5/4n3/4bk1p/1p2p1p1/p3R2P/2P2PP1/PP2K3/2R5 w - - 2 45,-311
2r5/3bn3/4pk1p/1p4p1/p3R2P/2PK1PP1/PP6/2R5 b - - 3 43,-346
2r5/3bn3/5k1p/1p2p1p1/p3R2P/2PK1PP1/PP6/2R5 w - - 0 44,-334
2r5/4n3/4bk1p/1p2p1p1/p3R2P/2P2PP1/PP3K2/2R5 b - - 3 45,-341
2r5/3bn3/4pk1p/1p4p1/p2KR2P/2P2PP1/PP6/2R5 w - - 2 43,-367
2r5/4n3/5k1p/1p2p1p1/p3R2P/2P2PP1/bP3K2/4R3 b - - 1 46,-333
2r5/3bn3/5k1p/1p2p1p1/p3R2P/2P2PP1/PP2K3/2R5 b - - 1 44,-334
8/4n3/5k1p/1pr1p1p1/p3R2P/2P2PP1/bP3K2/4R3 w - - 2 47,-353
2r5/4n3/5k1p/1p2p1p1/p3R2P/2P2PP1/bP3K2/2R5 w - - 0 46,-339
8/4n3/5k1p/1pr1p1P1/p3R3/2P2PP1/bP3K2/4R3 b - - 0 47,-357
8/4n3/5k2/1pr1p1p1/p3R3/2P2PP1/bP3K2/4R3 w - - 0 48,-358
8/8/5k2/1pr1n1p1/p2R4/2P3P1/bP3K2/4R3 b - - 1 50,-386
8/8/5k2/1pr1n1p1/p3R3/2P3P1/bP3K2/4R3 w - - 0 50,-414
8/4n3/5k2/1pr1p1p1/p3RP2/2P3P1/bP3K2/4R3 b - - 0 48,-375
8/8/5kn1/1pr1P1p1/p3R3/2P3P1/bP3K2/4R3 b - - 0 49,-444
8/8/5k2/1p1Rn1p1/p7/2P3P1/bP3K2/4R3 b - - 0 51,-517
8/8/5k2/1p2n1p1/p1b5/2P1K1P1/1P6/4R3 w - - 2 53,-484
8/8/5k2/1p1bn1p1/p7/2P3P1/1P3K2/4R3 w - - 0 52,-528
8/8/5k2/1p1bn1p1/p7/2P1K1P1/1P6/4R3 b - - 1 52,-529
8/8/5k2/1p1rn1p1/p2R4/2P3P1/bP3K2/4R3 w - - 2 51,-481
8/8/5kn1/1pr1p1p1/p3RP2/2P3P1/bP3K2/4R3 w - - 1 49,-376
8/8/5k2/1p2n1p1/p1b5/2P1K1P1/1P6/3R4 b - - 3 53,-540
8/8/8/1p2nkp1/p1b5/2P1K1P1/1P6/3R4 w - - 4 54,-538
8/8/8/1p2k1p1/p1bR2P1/2PnK3/1P6/8 w - - 1 56,-561
8/8/8/1p2nkp1/p1bR4/2P1K1P1/1P6/8 b - - 5 54,-556
8/8/8/1p3kp1/p1bR4/2PnK1P1/1P6/8 w - - 6 55,-596
8/8/8/1p3kp1/p1bR2P1/2PnK3/1P6/8 b - - 0 55,-605
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,10
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,-2
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,8
