fen,evaluation
r5k1/7p/3p2pB/2nP4/1pBQ2P1/1P3qP1/5P2/6K1 b - - 2 45,-12
r5k1/5q1p/3p2p1/2nP2B1/1pBQ2P1/1P4P1/5P2/6K1 b - - 0 44,-20
6k1/r6p/3p2pB/2nP4/1pBQ2P1/1P3qP1/5P2/6K1 w - - 3 46,-20
6k1/4r2p/3p2p1/2nP4/1pBQ2P1/1P2BqP1/5P2/6K1 w - - 5 47,-29
6k1/r6p/3p2p1/2nP4/1pBQ2P1/1P2BqP1/5P2/6K1 b - - 4 46,-35
6k1/7p/3p2p1/2nP4/1pB1rBP1/1P4P1/5P2/6K1 w - - 1 49,0
6k1/7p/3B2p1/2nP4/1pP3P1/6P1/5P2/6K1 b - - 0 50,0
6k1/7p/3B2p1/2nP4/1pB1r1P1/1P4P1/5P2/6K1 b - - 0 49,0
6k1/7p/3B2p1/2nP4/1pr3P1/1P4P1/5P2/6K1 w - - 0 50,0
6k1/7p/6p1/2nPB3/2P3P1/1p4P1/5P2/6K1 b - - 1 51,0
6k1/7p/3B2p1/2nP4/2P3P1/1p4P1/5P2/6K1 w - - 0 51,0
6k1/7p/6p1/3PB3/2P3P1/1p1n2P1/5P2/6K1 w - - 2 52,0
6k1/7p/6p1/3P4/2PB2P1/1p1n2P1/5P2/6K1 b - - 3 52,0
8/5k1p/6p1/3P4/2PB2P1/1p1n2P1/5P2/6K1 w - - 4 53,0
6k1/4r2p/3p2p1/2nP4/1pB2qP1/1P2B1P1/5P2/6K1 w - - 0 48,-34
6k1/4r2p/3p2p1/2nP4/1pB2BP1/1P4P1/5P2/6K1 b - - 0 48,-41
6k1/4r2p/3p2p1/2nP4/1pB2QP1/1P2BqP1/5P2/6K1 b - - 6 47,-63
8/5k1p/6p1/2PP4/5PP1/6P1/1n6/6K1 b - - 0 55,-561
8/5k1p/6p1/2PP4/n4PP1/6P1/8/6K1 w - - 1 56,-623
8/5k1p/6p1/3P4/2P2PP1/6P1/1n6/6K1 w - - 0 55,-572
8/5k1p/6p1/3P4/2P2PP1/3n2P1/1B6/6K1 b - - 0 54,-648
8/4k2p/1nP3p1/3P4/5PP1/6P1/6K1/8 w - - 3 58,0
8/2P1k2p/1n4p1/3P4/5PP1/6P1/6K1/8 b - - 0 58,0
8/2Pk3p/1n4p1/3P4/5PP1/6P1/6K1/8 w - - 1 59,0
8/2Pk3p/1n4p1/3P4/5PP1/6PK/8/8 b - - 2 59,0
8/2Pk3p/6p1/3n4/5PP1/6PK/8/8 w - - 0 60,0
8/2Pk3p/6p1/3n4/5PPK/6P1/8/8 b - - 1 60,0
8/2nk3p/6p1/8/5PPK/6P1/8/8 w - - 0 61,0
8/2nk3p/6p1/6K1/5PP1/6P1/8/8 b - - 1 61,0
8/2n4p/4k1p1/6K1/5PP1/6P1/8/8 w - - 2 62,0
8/2n4p/4k1pK/8/5PP1/6P1/8/8 b - - 3 62,0
8/7p/4k1pK/3n4/5PP1/6P1/8/8 w - - 4 63,0
8/7K/4k1p1/3n4/5PP1/6P1/8/8 b - - 0 63,0
8/5k1K/6p1/3n4/5PP1/6P1/8/8 w - - 1 64,0
8/5k2/6pK/3n4/5PP1/6P1/8/8 b - - 2 64,0
8/8/5kpK/3n4/5PP1/6P1/8/8 w - - 3 65,0
8/8/5kpK/3n2P1/5P2/6P1/8/8 b - - 0 65,0
8/5k2/6pK/3n2P1/5P2/6P1/8/8 w - - 1 66,0
8/5k1K/6p1/3n2P1/5P2/6P1/8/8 b - - 2 66,0
8/5k1K/6p1/6P1/5P2/4n1P1/8/8 w - - 3 67,0
7K/5k2/6p1/6P1/5P2/4n1P1/8/8 b - - 4 67,0
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 3,27
8/5k1p/6p1/3P4/2PB1PP1/3n2P1/1p6/6K1 w - - 0 54,-663
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/6P1/PP2PP1P/RNBQKBNR w KQkq - 1 4,31
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/6P1/PP1BPP1P/RN1QKBNR b KQkq - 2 4,40
rnbqk2r/ppppbppp/4pn2/8/2PP4/6P1/PP1BPP1P/RN1QKBNR w KQkq - 3 5,21
8/4k2p/2P3p1/3P4/n4PP1/6P1/6K1/8 b - - 2 57,-689
rnbqk2r/ppppbppp/4pn2/8/2PP4/6P1/PP1BPPBP/RN1QK1NR b KQkq - 4 5,25
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/6P1/PP1BPPBP/RN1QK1NR w KQkq - 0 6,21
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP1BPPBP/RN1QK2R w KQ - 2 7,25
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP1BPPBP/RN1Q1RK1 b - - 3 7,21
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/5NP1/PP1BPPBP/RN1Q1RK1 w - - 0 8,21
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP1BPPBP/RN1QK2R b KQkq - 1 6,28
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/5NP1/PPQBPPBP/RN3RK1 b - - 1 8,20
rnbq1rk1/p3bppp/1pp1pn2/3p4/2PP1B2/5NP1/PPQ1PPBP/RN3RK1 b - - 1 9,28
rnbq1rk1/p3bppp/1pp1pn2/3p4/2PP4/5NP1/PPQBPPBP/RN3RK1 w - - 0 9,24
rn1q1rk1/pb2bppp/1pp1pn2/3p4/2PP1B2/5NP1/PPQ1PPBP/RN3RK1 w - - 2 10,25
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP1B2/5NP1/PPQNPPBP/R4RK1 w - - 4 11,27
rn1q1rk1/pb2bppp/1pp1pn2/3p4/2PP1B2/5NP1/PPQNPPBP/R4RK1 b - - 3 10,18
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP1B2/5NP1/PPQNPPBP/2R2RK1 b - - 5 11,-17
2rq1rk1/pb1nbppp/1pp1pn2/3p4/2PP1B2/5NP1/PPQNPPBP/2R2RK1 w - - 6 12,-17
2rq1rk1/pb1nbppp/1pp1pn2/3pN3/2PP1B2/6P1/PPQNPPBP/2R2RK1 b - - 7 12,-16
2rq1rk1/pb1nbppp/1p2pn2/2ppN3/2PP1B2/6P1/PPQNPPBP/2R2RK1 w - - 0 13,0
2rq1rk1/pb1nbppp/1p2pn2/2PpN3/2P2B2/6P1/PPQNPPBP/2R2RK1 b - - 0 13,-10
2rq1rk1/pb1n1ppp/1p2pn2/2bpN3/2P2B2/6P1/PPQNPPBP/2R2RK1 w - - 0 14,4
2rq1rk1/pb1n1ppp/1p2pn2/2bp4/2P2B2/3N2P1/PPQNPPBP/2R2RK1 b - - 1 14,3
2r2rk1/pb1nqppp/1p2pn2/2bp4/2P2B2/3N2P1/PPQNPPBP/2R2RK1 w - - 2 15,14
8/5k1p/2P3p1/3P4/n4PP1/6P1/8/6K1 b - - 0 56,-559
2r2rk1/pb2qppp/1p2pn2/2np4/2P2B2/6P1/PPQNPPBP/2R2RK1 w - - 0 16,18
2r2rk1/pb1nqppp/1p2pn2/2Np4/2P2B2/6P1/PPQNPPBP/2R2RK1 b - - 0 15,12
2r2rk1/pb2qppp/1p2pn2/2np4/1PP2B2/6P1/P1QNPPBP/2R2RK1 b - - 0 16,14
2r2rk1/pb1nqppp/1p2pn2/3p4/1PP2B2/6P1/P1QNPPBP/2R2RK1 w - - 1 17,16
2r2rk1/pb1nqpp1/1p2pn1p/3p4/1PP2B2/6P1/PQ1NPPBP/2R2RK1 w - - 0 18,18
2r2rk1/pb1nqppp/1p2pn2/3p4/1PP2B2/6P1/PQ1NPPBP/2R2RK1 b - - 2 17,10
2r2rk1/pb1nqpp1/1p2pn1p/3p4/1PP2B2/P5P1/1Q1NPPBP/2R2RK1 b - - 0 18,0
b1r2rk1/p2nqpp1/1p2pn1p/3P4/1P3B2/P5P1/1Q1NPPBP/2R2RK1 b - - 0 19,-2
b1r2rk1/p2nqpp1/1p2pn1p/3p4/1PP2B2/P5P1/1Q1NPPBP/2R2RK1 w - - 1 19,-3
b1r2rk1/p2nqpp1/1p2p2p/3n4/1P3B2/P5P1/1Q1NPPBP/2R2RK1 w - - 0 20,6
b1r2rk1/p2nqpp1/1p2p2p/3n4/1P3B2/P4NP1/1Q2PPBP/2R2RK1 b - - 1 20,-15
b1r2rk1/p3qpp1/1p2pn1p/8/1P3P2/P4N2/1Q2PPBP/2R2RK1 w - - 1 22,0
b1R2rk1/p3qpp1/1p2pn1p/8/1P3P2/P4N2/1Q2PPBP/5RK1 b - - 0 22,0
b1r2rk1/p2nqpp1/1p2p2p/8/1P3n2/P4NP1/1Q2PPBP/2R2RK1 w - - 0 21,-8
b1r3k1/p3qpp1/1p2pn1p/8/1P3P2/P4N2/1Q2PPBP/5RK1 w - - 0 23,0
b1r3k1/p3qpp1/1p2pn1p/8/1P3P2/P4N2/1Q2PPBP/2R3K1 b - - 1 23,0
b5k1/p3qpp1/1p2pn1p/8/1P3P2/P4N2/4PPBP/2Q3K1 b - - 0 24,0
6k1/p3qpp1/1p2pn1p/8/1P3P2/P4b2/4PPBP/2Q3K1 w - - 0 25,0
6k1/p3qp2/1p2pnpp/8/1P3P2/P4B2/4PP1P/2Q3K1 w - - 0 26,0
b5k1/p3qpp1/1p2pn1p/8/1P3P2/P4N2/1Q2PPBP/2r3K1 w - - 0 24,-2
b1r2rk1/p2nqpp1/1p2p2p/8/1P3P2/P4N2/1Q2PPBP/2R2RK1 b - - 0 21,-15
6k1/p3qp2/1p2pnpp/8/1P3P2/P1Q2B2/4PP1P/6K1 b - - 1 26,-2
4n1k1/p3qp2/1p2p1pp/8/1P3P2/P1Q2B2/4PP1P/6K1 w - - 2 27,0
6k1/p3qpp1/1p2pn1p/8/1P3P2/P4B2/4PP1P/2Q3K1 b - - 0 25,0
6k1/p3qp2/1p1np1pp/8/1P3P2/P1Q1PB2/5P1P/6K1 w - - 1 28,0
6k1/p3q3/1p1npppp/4Q3/1P3P2/P3PB2/5P1P/6K1 w - - 0 29,0
6k1/p3qp2/1p1np1pp/4Q3/1P3P2/P3PB2/5P1P/6K1 b - - 2 28,-3
8/p3q1k1/1p1npppp/8/PP3P2/2Q1PB2/5P1P/6K1 b - - 0 30,0
8/p3q1k1/1p1npppp/8/1P3P2/P1Q1PB2/5P1P/6K1 w - - 2 30,0
8/p3q1k1/1p1npp1p/6P1/PP6/2Q1PB2/5P1P/6K1 b - - 0 31,0
8/p3q1k1/1p1npp1p/6p1/PP3P2/2Q1PB2/5P1P/6K1 w - - 0 31,0
8/p3q1k1/1p1npp2/6p1/PP6/2Q1PB2/5P1P/6K1 w - - 0 32,0
4n1k1/p3qp2/1p2p1pp/8/1P3P2/P1Q1PB2/5P1P/6K1 b - - 0 27,-3
8/p3qnk1/1p2pp2/6p1/PP6/2Q1PB2/5P1P/6K1 b - - 3 33,0
8/p3qnk1/1pQ1pp2/6p1/PP6/4PB2/5P1P/6K1 w - - 2 33,0
8/p3q1k1/1p2pp2/4n1p1/PP6/2Q1P3/4BP1P/6K1 b - - 5 34,0
8/p5k1/1p1qpp2/4n1p1/PP6/2Q1P3/4BP1P/6K1 w - - 6 35,0
8/p3q1k1/1p2pp2/4n1p1/PP6/2Q1PB2/5P1P/6K1 w - - 4 34,0
8/p3q1k1/1pQnpp2/6p1/PP6/4PB2/5P1P/6K1 b - - 1 32,0
6k1/p3q3/1p1npppp/8/1P3P2/P1Q1PB2/5P1P/6K1 b - - 1 29,0
8/p5k1/1pnqpp2/P5p1/1P6/2Q1P3/4BP1P/6K1 w - - 1 36,0
8/6k1/1pnqpp2/1P4p1/8/2Q1P3/4BP1P/6K1 b - - 0 37,0
8/6k1/1p1qpp2/1P2n1p1/8/2Q1P3/4BP1P/6K1 w - - 1 38,0
8/6k1/1pnqpp2/6p1/1P6/2Q1P3/4BP1P/6K1 w - - 0 37,0
8/p5k1/1Pnqpp2/6p1/1P6/2Q1P3/4BP1P/6K1 b - - 0 36,0
8/p5k1/1p1qpp2/P3n1p1/1P6/2Q1P3/4BP1P/6K1 b - - 0 35,0
8/6k1/1p1qppn1/1P4p1/8/2Q1PP2/4B2P/6K1 w - - 1 39,0
8/6k1/1pQqppn1/1P4p1/8/4PP2/4B2P/6K1 b - - 2 39,-8
8/6k1/1pQ1ppn1/1P4p1/8/4PP2/3qBK1P/8 b - - 4 40,-3
8/6k1/1pQ1ppn1/1P4p1/8/4PP2/3qB2P/6K1 w - - 3 40,-1
8/6k1/1p1qpp2/1P2n1p1/4Q3/4PP2/4BK1P/8 w - - 7 42,0
8/6k1/1p1qpp2/1P2n1p1/4Q2P/4PP2/4BK2/8 b - - 0 42,0
8/6k1/1pQ1pp2/1P2n1p1/8/4PP2/3qBK1P/8 w - - 5 41,-6
8/6k1/1p1qpp2/1P2n3/4Q2p/4PP2/4BK2/8 w - - 0 43,-9
8/6k1/1p2pp2/1Pq1n3/7Q/4PP2/4BK2/8 w - - 1 44,0
8/6k1/1p1qpp2/1P2n3/7Q/4PP2/4BK2/8 b - - 0 43,-8
8/6k1/1p2pp2/1P2n1p1/4Q3/4PP2/3qBK1P/8 b - - 6 41,-4
8/6k1/1p2pp2/1Pq1n3/4Q3/4PP2/4BK2/8 b - - 2 44,0
8/6k1/1p2p3/1Pq1np2/4Q3/4PP2/4BK2/8 w - - 0 45,0
8/1Q6/1p2pk2/1Pq1np2/8/4PP2/4BK2/8 w - - 2 46,0
8/7Q/1p2pk2/1Pq1np2/8/4PP2/4BK2/8 b - - 3 46,0
8/1Q4k1/1p2p3/1Pq1np2/8/4PP2/4BK2/8 b - - 1 45,0
8/7Q/1p2pkn1/1Pq2p2/8/4PP2/4BK2/8 w - - 4 47,0
8/7Q/1p2pkn1/1Pq2p2/5P2/4P3/4BK2/8 b - - 0 47,0
8/7Q/1p3kn1/1P2qp2/8/4P3/4BK2/8 w - - 0 49,0
8/7Q/1p3kn1/1Pq1pp2/5P2/4P3/4BK2/8 w - - 0 48,0
8/6k1/1p1qpp2/1P2n1p1/8/2Q1PP2/4B2P/6K1 b - - 0 38,-18
8/7Q/1p3kn1/1Pq1Pp2/8/4P3/4BK2/8 b - - 0 48,0
8/8/1p3k2/1P2np2/8/4P3/1q2BK2/7Q w - - 4 51,0
8/8/1p3kn1/1P3p2/8/4P3/1q2BK2/7Q b - - 3 50,0
8/8/1p3knQ/1P3p2/8/4P3/1q2BK2/8 w - - 2 50,0
8/8/1p3k1Q/1P2np2/8/4P3/1q2BK2/8 b - - 5 51,0
8/8/1p3knQ/1P2qp2/8/4P3/4BK2/8 b - - 1 49,-9
rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1,-30
rnbqkbnr/ppp1pp1p/6p1/3p4/5P2/3P1N2/PPP1P1PP/RNBQKB1R b KQkq - 0 3,-25
rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2,-26
rnbqkb1r/ppp1pp1p/5np1/3p4/5P2/3P1N2/PPP1P1PP/RNBQKB1R w KQkq - 1 4,-28
rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2,-31
rnbqkbnr/ppp1pp1p/6p1/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 0 3,-32
rnbqkb1r/ppp1pp1p/5np1/3p4/5P2/3P1NP1/PPP1P2P/RNBQKB1R b KQkq - 0 4,-38
rnbqkb1r/p1p1pp1p/1p3np1/3p4/5P2/3P1NP1/PPP1P2P/RNBQKB1R w KQkq - 0 5,-22
rnbqkb1r/p1p1pp1p/1p3np1/3p4/5P2/3P1NP1/PPP1P1BP/RNBQK2R b KQkq - 1 5,-19
rn1qkb1r/pbp1pp1p/1p3np1/3p4/5P2/3P1NP1/PPP1P1BP/RNBQK2R w KQkq - 2 6,-20
rn1qkb1r/pbp1pp1p/1p3np1/3p4/5P2/3P1NP1/PPP1P1BP/RNBQ1RK1 b kq - 3 6,-25
rn1q1rk1/pbp1ppbp/1p3np1/3p4/5P2/3P1NP1/PPP1P1BP/RNB1QRK1 w - - 6 8,-44
rn1qk2r/pbp1ppbp/1p3np1/3p4/5P2/3P1NP1/PPP1P1BP/RNB1QRK1 b kq - 5 7,-49
rn1qk2r/pbp1ppbp/1p3np1/3p4/5P2/3P1NP1/PPP1P1BP/RNBQ1RK1 w kq - 4 7,-20
rn1q1rk1/pbp1ppbp/1p3np1/3p4/5P2/3P1NPP/PPP1P1B1/RNB1QRK1 b - - 0 8,-62
r2q1rk1/pbp1ppbp/1pn2np1/3p4/5P2/3P1NPP/PPP1P1B1/RNB1QRK1 w - - 1 9,-37
r4rk1/pbp1ppbp/1pnq1np1/3p4/5PP1/3P1N1P/PPP1PQB1/RNB2RK1 b - - 2 10,-56
r4rk1/pbp2pbp/1pnq1np1/3pp3/5PP1/3P1N1P/PPP1PQB1/RNB2RK1 w - - 0 11,-49
r2q1rk1/pbp1ppbp/1pn2np1/3p4/5PP1/3P1N1P/PPP1P1B1/RNB1QRK1 b - - 0 9,-33
r4rk1/pbp2pbp/1pnq1np1/3pP3/6P1/3P1N1P/PPP1PQB1/RNB2RK1 b - - 0 11,-44
8/5k1p/6p1/3P4/2PB1PP1/1p1n2P1/8/6K1 b - - 0 53,-593
r4rk1/pbp1ppbp/1pnq1np1/3p4/5PP1/3P1N1P/PPP1P1B1/RNB1QRK1 w - - 1 10,-24
r4rk1/pbp2pbp/1p1q1np1/3pn3/6P1/3P1N1P/PPP1PQB1/RNB2RK1 w - - 0 12,-52
r4rk1/pbp2pbp/1p3np1/3pq3/6P1/2NP3P/PPP1PQB1/R1B2RK1 b - - 1 13,-55
r4rk1/pbp2pbp/1p3np1/3pq3/6P1/3P3P/PPP1PQB1/RNB2RK1 w - - 0 13,-61
r4rk1/pbp2pbp/1p1q1np1/3pN3/6P1/3P3P/PPP1PQB1/RNB2RK1 b - - 0 12,-47
r4rk1/pb3pbp/1pp2np1/3pq3/6P1/2NP3P/PPP1PQB1/R1B2RK1 w - - 0 14,12
r4rk1/pb3pbp/1pp2np1/3pq3/5BP1/2NP3P/PPP1PQB1/R4RK1 b - - 1 14,1
r4rk1/pb3pb1/1pp1qnp1/3p2Pp/5B2/2NPP2P/PPP2QB1/R4RK1 b - - 0 16,-22
r4rk1/pb3pb1/1pp1qnp1/3p3p/5BP1/2NPP2P/PPP2QB1/R4RK1 w - - 0 16,-16
r4rk1/pb3pbp/1pp1qnp1/3p4/5BP1/2NPP2P/PPP2QB1/R4RK1 b - - 0 15,-15
r4rk1/pb1n2b1/1pp1qPp1/3p3p/3P1B2/2N1P2P/PPP2QB1/R4RK1 b - - 0 18,0
r4rk1/pb1n1pb1/1pp1q1p1/3p2Pp/5B2/2NPP2P/PPP2QB1/R4RK1 w - - 1 17,-13
r4rk1/pb4b1/1pp1qnp1/3p3p/3P1B2/2N1P2P/PPP2QB1/R4RK1 w - - 0 19,9
r4rk1/pb3pbp/1pp1qnp1/3p4/5BP1/2NP3P/PPP1PQB1/R4RK1 w - - 2 15,-1
r4rk1/pb1n1pb1/1pp1q1p1/3p2Pp/3P1B2/2N1P2P/PPP2QB1/R4RK1 b - - 0 17,-13
r4rk1/pb4b1/1pp1q1p1/3p3p/3PNB2/4P1QP/PPP3B1/R4RK1 b - - 0 20,119
r4rk1/pb4b1/1pp1q1p1/3p3p/3PnB2/2N1P1QP/PPP3B1/R4RK1 w - - 2 20,124
r4rk1/pb1n2b1/1pp1qpp1/3p2Pp/3P1B2/2N1P2P/PPP2QB1/R4RK1 w - - 0 18,4
r4rk1/pb4b1/1pp1q1p1/7p/3PpB2/4P1QP/PPP3B1/R4RK1 w - - 0 21,130
r4rk1/pb4b1/1pp1qnp1/3p3p/3P1B2/2N1P1QP/PPP3B1/R4RK1 b - - 1 19,8
r4rk1/pb4b1/1pp1q1p1/7p/3PpB2/4P1QP/PPP3BK/R4R2 b - - 1 21,52
r4rk1/pb4b1/1p2q1p1/2p4p/3PpB2/4P1QP/PPP3BK/R4R2 w - - 0 22,57
3r1rk1/pb4b1/1p2q1p1/2p4p/3PpB2/2P1P1QP/PP4BK/R4R2 w - - 1 23,55
r4rk1/pb4b1/1p2q1p1/2p4p/3PpB2/2P1P1QP/PP4BK/R4R2 b - - 0 22,54
2br1rk1/p5b1/1p2q1p1/2p4p/3PpB1P/2P1P1Q1/PP4BK/R4R2 w - - 1 24,69
2br1r2/p5bk/1p2q1p1/2p4p/3PpB1P/2P1P1Q1/PP3RBK/5R2 b - - 4 25,33
2b1rr2/p5bk/1p2q1p1/2p4p/3PpB1P/P1P1P1Q1/1P3RBK/5R2 b - - 0 26,0
3r1rk1/pb4b1/1p2q1p1/2p4p/3PpB1P/2P1P1Q1/PP4BK/R4R2 b - - 0 23,49
2b1rr2/p5bk/1p2q1p1/2p4p/3PpB1P/2P1P1Q1/PP3RBK/5R2 w - - 5 26,35
2br1r2/p5bk/1p2q1p1/2p4p/3PpB1P/2P1P1Q1/PP3RBK/R7 w - - 3 25,41
2br1rk1/p5b1/1p2q1p1/2p4p/3PpB1P/2P1P1Q1/PP3RBK/R7 b - - 2 24,20
2b1r3/p4rbk/1p2q1p1/2p4p/3PpB1P/P1P1P1Q1/1P3RBK/5R2 w - - 1 27,110
2b1r3/p5bk/1p2q1p1/2p3Bp/3Pp2P/P1P1P1Q1/1P3rBK/5R2 w - - 0 28,109
2b1r3/p4rbk/1p2q1p1/2p3Bp/3Pp2P/P1P1P1Q1/1P3RBK/5R2 b - - 2 27,105
2b1r3/p5bk/1p2q1p1/2p3Bp/3Pp2P/P1P1P1Q1/1P3RBK/8 b - - 0 28,109
2b1r3/p5bk/1p2q1p1/6Bp/3pp2P/P1P1P1Q1/1P3RBK/8 w - - 0 29,142
1Qb1r3/p5bk/1p4p1/6Bp/2qPp2P/P3P3/1P3RBK/8 b - - 2 30,182
1Qb1r3/p4Rbk/1p4p1/6Bp/3Pp2P/P3P3/1Pq3BK/8 w - - 5 32,M7
2b1r3/Q4Rbk/1p4p1/6Bp/3Pp2P/P3P3/1Pq3BK/8 b - - 0 32,M6
2b1r3/p5bk/1p4p1/6Bp/2qPp2P/P3P1Q1/1P3RBK/8 w - - 1 30,181
2b1r3/p5bk/1p2q1p1/6Bp/3Pp2P/P3P1Q1/1P3RBK/8 b - - 0 29,147
rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,44
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,47
1Qb1r3/p5bk/1p4p1/6Bp/q2Pp2P/P3P3/1P3RBK/8 w - - 3 31,441
1Qb1r3/p4Rbk/1p4p1/6Bp/q2Pp2P/P3P3/1P4BK/8 b - - 4 31,450
rnbqkbnr/pp1p1ppp/4p3/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,51
r1b1kbnr/ppqp1ppp/2n1p3/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq - 4 6,48
r1b1kbnr/1pqp1ppp/p1n1p3/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 b kq - 1 7,36
r1b1kbnr/1pqp1ppp/p1n1p3/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 0 7,41
r1b1kb1r/1pqp1ppp/p1n1pn2/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w kq - 2 8,41
r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,42
r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,48
r1b1k2r/1pqp1ppp/p1n1pn2/8/1b1NP3/2N5/PPP1BPPP/R1BQ1R1K w kq - 4 9,40
r1b1k2r/1pqp1ppp/p1n1pB2/8/3NP3/2b5/PPP1BPPP/R2Q1R1K b kq - 0 10,30
r1b1k2r/1pqp1ppp/p1n1pn2/6B1/3NP3/2b5/PPP1BPPP/R2Q1R1K w kq - 0 10,31
r1b1kb1r/1pqp1ppp/p1n1pn2/8/3NP3/2N5/PPP1BPPP/R1BQ1R1K b kq - 3 8,17
r1b1k2r/1pqp1ppp/p1n1pn2/6B1/1b1NP3/2N5/PPP1BPPP/R2Q1R1K b kq - 5 9,36
r1b1k2r/1pqp1p1p/p1n1pp2/8/3NP3/2b5/PPP1BPPP/R2Q1R1K w kq - 0 11,47
r1b1k2r/1pq2p1p/p1nppp2/8/3NP3/2P5/P1P1BPPP/R2Q1R1K w kq - 0 12,53
r1b1k2r/1pq2p1p/p1nppp2/8/3NP3/2P5/P1PQBPPP/R4R1K b kq - 1 12,47
r1b1k2r/1pqp1p1p/p1n1pp2/8/3NP3/2P5/P1P1BPPP/R2Q1R1K b kq - 0 11,36
r3k2r/1pqb1p1p/p1nppp2/8/3NP3/2P5/P1PQBPPP/R4R1K w kq - 2 13,73
r3k2r/1pqb1p1p/p1nppp2/8/3NP3/2P5/P1PQBPPP/3R1R1K b kq - 3 13,70
r6r/1pqbkp1p/p1nppp2/8/3NP3/2P5/P1PQBPPP/3R1R1K w - - 4 14,82
2r4r/1pqbkp1p/p1nppp2/8/3NPP2/2P5/P1PQB1PP/3R1R1K w - - 1 15,95
r6r/1pqbkp1p/p1nppp2/8/3NPP2/2P5/P1PQB1PP/3R1R1K b - - 0 14,74
2r4r/1pqbkp1p/p1nppp2/8/4PP2/1NP5/P1PQB1PP/3R1R1K b - - 2 15,103
3r3r/1pqbkp1p/p1nppp2/8/4PP2/1NP5/P1PQB1PP/3R1R1K w - - 3 16,98
3r3r/1pqbkp1p/p1nppp2/8/4PP2/1NP5/P1P1B1PP/3RQR1K b - - 4 16,103
3r3r/1pqbkp1p/p2ppp2/n7/4PP2/1NP5/P1P1B1PP/3RQR1K w - - 5 17,122
3r3r/1pqbkp1p/p2ppp2/n7/3NPP2/2P5/P1P1B1PP/3RQR1K b - - 6 17,92
3r3r/1pqbkp2/p2ppp2/n6p/3NPP2/2P5/P1P1B1PP/3RQR1K w - - 0 18,90
3r3r/1pqbkp2/p1nppp2/7p/3NPP1Q/2P5/P1P1B1PP/3R1R1K w - - 2 19,131
3r2r1/1pqbkp2/p1nppp2/7p/4PP1Q/2P5/P1PNB1PP/3R1R1K b - - 5 20,188
3r3r/1pqbkp2/p1nppp2/7p/4PP1Q/2P2N2/P1P1B1PP/3R1R1K b - - 3 19,124
3r3r/1pqbkp2/p2ppp2/n6p/3NPP1Q/2P5/P1P1B1PP/3R1R1K b - - 1 18,77
3r2r1/1pqbkp2/p2ppp2/n6p/4PP1Q/2P5/P1PNB1PP/3R1R1K w - - 6 21,148
3r2r1/1pqbkp2/p1nppp2/7p/4PP1Q/2P2N2/P1P1B1PP/3R1R1K w - - 4 20,173
3r2r1/1pqbkp2/p2ppp2/n3P2p/5P1Q/2P5/P1PNB1PP/3R1R1K b - - 0 21,164
3r2r1/1pqbkp2/p3pp2/n3p2p/5P1Q/2P5/P1PNB1PP/3R1R1K w - - 0 22,464
3r4/1pqbkp2/p3ppr1/n3p2B/4NP1Q/2P5/P1P3PP/3R1R1K b - - 0 23,468
3r4/1pqbkp2/p3pp1r/n3p2B/4NP1Q/2P5/P1P3PP/3R1R1K w - - 1 24,490
3r4/1pqbkp2/p3ppr1/n3p2p/4NP1Q/2P5/P1P1B1PP/3R1R1K w - - 2 23,491
3r2r1/1pqbkp2/p3pp2/n3p2p/4NP1Q/2P5/P1P1B1PP/3R1R1K b - - 1 22,465
